DOY,Day,Hour,Month,Precip,SM,Year
1.041666667,1,1,1,0,0.371,2002
1.083333333,1,2,1,0,0.372,2002
1.125,1,3,1,0,0.373,2002
1.166666667,1,4,1,0,0.374,2002
1.208333333,1,5,1,0,0.375,2002
1.25,1,6,1,0,0.375,2002
1.291666667,1,7,1,0,0.377,2002
1.333333333,1,8,1,0,0.378,2002
1.375,1,9,1,0,0.378,2002
1.416666667,1,10,1,0,0.378,2002
1.458333333,1,11,1,0,0.377,2002
1.5,1,12,1,0,0.372,2002
1.541666667,1,13,1,0,0.368,2002
1.583333333,1,14,1,0,0.364,2002
1.625,1,15,1,0,0.362,2002
1.666666667,1,16,1,0,0.361,2002
1.708333333,1,17,1,0,0.363,2002
1.75,1,18,1,0,0.367,2002
1.791666667,1,19,1,0,0.371,2002
1.833333333,1,20,1,0,0.375,2002
1.875,1,21,1,0,0.379,2002
1.916666667,1,22,1,0,0.382,2002
1.958333333,1,23,1,0,0.386,2002
1.999305556,1,23,1,0,0.388,2002
2.041666667,2,1,1,0,0.392,2002
2.083333333,2,2,1,0,0.393,2002
2.125,2,3,1,0,0.396,2002
2.166666667,2,4,1,0,0.397,2002
2.208333333,2,5,1,0,0.399,2002
2.25,2,6,1,0,0.4,2002
2.291666667,2,7,1,0,0.402,2002
2.333333333,2,8,1,0,0.403,2002
2.375,2,9,1,0,0.403,2002
2.416666667,2,10,1,0,0.402,2002
2.458333333,2,11,1,0,0.4,2002
2.5,2,12,1,0,0.395,2002
2.541666667,2,13,1,0,0.393,2002
2.583333333,2,14,1,0,0.392,2002
2.625,2,15,1,0,0.391,2002
2.666666667,2,16,1,0,0.39,2002
2.708333333,2,17,1,0,0.392,2002
2.75,2,18,1,0,0.391,2002
2.791666667,2,19,1,0,0.395,2002
2.833333333,2,20,1,0,0.397,2002
2.875,2,21,1,0,0.4,2002
2.916666667,2,22,1,0,0.403,2002
2.958333333,2,23,1,0,0.405,2002
2.999305556,2,23,1,1.778,0.407,2002
3.041666667,3,1,1,1.524,0.409,2002
3.083333333,3,2,1,1.27,0.408,2002
3.125,3,3,1,0.508,0.382,2002
3.166666667,3,4,1,3.048,0.374,2002
3.208333333,3,5,1,1.27,0.373,2002
3.25,3,6,1,0.254,0.373,2002
3.291666667,3,7,1,0.254,0.374,2002
3.333333333,3,8,1,0.254,0.373,2002
3.375,3,9,1,0.508,0.373,2002
3.416666667,3,10,1,1.016,0.372,2002
3.458333333,3,11,1,1.016,0.371,2002
3.5,3,12,1,0.508,0.371,2002
3.541666667,3,13,1,0,0.369,2002
3.583333333,3,14,1,0,0.369,2002
3.625,3,15,1,0.254,0.369,2002
3.666666667,3,16,1,1.016,0.368,2002
3.708333333,3,17,1,0,0.368,2002
3.75,3,18,1,0,0.367,2002
3.791666667,3,19,1,0,0.369,2002
3.833333333,3,20,1,0,0.369,2002
3.875,3,21,1,0,0.369,2002
3.916666667,3,22,1,0,0.369,2002
3.958333333,3,23,1,0,0.369,2002
3.999305556,3,23,1,0,0.368,2002
4.041666667,4,1,1,0,0.368,2002
4.083333333,4,2,1,0,0.368,2002
4.125,4,3,1,0,0.366,2002
4.166666667,4,4,1,0,0.366,2002
4.208333333,4,5,1,0,0.366,2002
4.25,4,6,1,0,0.366,2002
4.291666667,4,7,1,0,0.366,2002
4.333333333,4,8,1,0,0.365,2002
4.375,4,9,1,0,0.364,2002
4.416666667,4,10,1,0.254,0.363,2002
4.458333333,4,11,1,0.508,0.363,2002
4.5,4,12,1,0,0.362,2002
4.541666667,4,13,1,0,0.36,2002
4.583333333,4,14,1,0.254,0.361,2002
4.625,4,15,1,0,0.359,2002
4.666666667,4,16,1,0,0.358,2002
4.708333333,4,17,1,0,0.359,2002
4.75,4,18,1,0,0.36,2002
4.791666667,4,19,1,0,0.36,2002
4.833333333,4,20,1,0,0.362,2002
4.875,4,21,1,0,0.363,2002
4.916666667,4,22,1,0,0.363,2002
4.958333333,4,23,1,0,0.364,2002
4.999305556,4,23,1,0,0.365,2002
5.041666667,5,1,1,0,0.366,2002
5.083333333,5,2,1,0,0.367,2002
5.125,5,3,1,0,0.367,2002
5.166666667,5,4,1,0,0.367,2002
5.208333333,5,5,1,0,0.368,2002
5.25,5,6,1,0,0.367,2002
5.291666667,5,7,1,0,0.369,2002
5.333333333,5,8,1,0,0.371,2002
5.375,5,9,1,0,0.369,2002
5.416666667,5,10,1,0,0.367,2002
5.458333333,5,11,1,0,0.365,2002
5.5,5,12,1,0,0.36,2002
5.541666667,5,13,1,0,0.353,2002
5.583333333,5,14,1,0,0.348,2002
5.625,5,15,1,0,0.344,2002
5.666666667,5,16,1,0,0.343,2002
5.708333333,5,17,1,0,0.344,2002
5.75,5,18,1,0,0.345,2002
5.791666667,5,19,1,0,0.349,2002
5.833333333,5,20,1,0,0.351,2002
5.875,5,21,1,0,0.353,2002
5.916666667,5,22,1,0,0.355,2002
5.958333333,5,23,1,0,0.357,2002
5.999305556,5,23,1,0,0.358,2002
6.041666667,6,1,1,0,0.36,2002
6.083333333,6,2,1,0,0.361,2002
6.125,6,3,1,0,0.361,2002
6.166666667,6,4,1,0,0.362,2002
6.208333333,6,5,1,0,0.362,2002
6.25,6,6,1,0,0.362,2002
6.291666667,6,7,1,0,0.362,2002
6.333333333,6,8,1,0,0.361,2002
6.375,6,9,1,0,0.359,2002
6.416666667,6,10,1,0,0.357,2002
6.458333333,6,11,1,0,0.356,2002
6.5,6,12,1,0.508,0.352,2002
6.541666667,6,13,1,8.636,0.346,2002
6.583333333,6,14,1,7.112,0.339,2002
6.625,6,15,1,7.366,0.331,2002
6.666666667,6,16,1,0,0.333,2002
6.708333333,6,17,1,0,0.332,2002
6.75,6,18,1,0,0.332,2002
6.791666667,6,19,1,0,0.334,2002
6.833333333,6,20,1,0,0.334,2002
6.875,6,21,1,0,0.334,2002
6.916666667,6,22,1,0,0.335,2002
6.958333333,6,23,1,0,0.335,2002
6.999305556,6,23,1,0,0.336,2002
7.041666667,7,1,1,0,0.337,2002
7.083333333,7,2,1,0,0.338,2002
7.125,7,3,1,0,0.341,2002
7.166666667,7,4,1,0,0.342,2002
7.208333333,7,5,1,0,0.343,2002
7.25,7,6,1,0,0.345,2002
7.291666667,7,7,1,0,0.346,2002
7.333333333,7,8,1,0,0.346,2002
7.375,7,9,1,0,0.347,2002
7.416666667,7,10,1,0,0.345,2002
7.458333333,7,11,1,0,0.344,2002
7.5,7,12,1,0,0.342,2002
7.541666667,7,13,1,0,0.339,2002
7.583333333,7,14,1,0,0.338,2002
7.625,7,15,1,0,0.338,2002
7.666666667,7,16,1,0,0.338,2002
7.708333333,7,17,1,0,0.339,2002
7.75,7,18,1,0,0.341,2002
7.791666667,7,19,1,0,0.342,2002
7.833333333,7,20,1,0,0.343,2002
7.875,7,21,1,0,0.345,2002
7.916666667,7,22,1,0,0.347,2002
7.958333333,7,23,1,0,0.348,2002
7.999305556,7,23,1,0,0.349,2002
8.041666667,8,1,1,0,0.351,2002
8.083333333,8,2,1,0,0.352,2002
8.125,8,3,1,0,0.353,2002
8.166666667,8,4,1,0,0.354,2002
8.208333333,8,5,1,0,0.355,2002
8.25,8,6,1,0,0.356,2002
8.291666667,8,7,1,0,0.358,2002
8.333333333,8,8,1,0,0.359,2002
8.375,8,9,1,0,0.359,2002
8.416666667,8,10,1,0,0.357,2002
8.458333333,8,11,1,0,0.354,2002
8.5,8,12,1,0,0.349,2002
8.541666667,8,13,1,0,0.344,2002
8.583333333,8,14,1,0,0.339,2002
8.625,8,15,1,0,0.336,2002
8.666666667,8,16,1,0,0.334,2002
8.708333333,8,17,1,0,0.335,2002
8.75,8,18,1,0,0.338,2002
8.791666667,8,19,1,0,0.341,2002
8.833333333,8,20,1,0,0.344,2002
8.875,8,21,1,0,0.347,2002
8.916666667,8,22,1,0,0.35,2002
8.958333333,8,23,1,0,0.351,2002
8.999305556,8,23,1,0,0.354,2002
9.041666667,9,1,1,0,0.354,2002
9.083333333,9,2,1,0,0.356,2002
9.125,9,3,1,0,0.357,2002
9.166666667,9,4,1,0,0.358,2002
9.208333333,9,5,1,0,0.358,2002
9.25,9,6,1,0,0.359,2002
9.291666667,9,7,1,0,0.36,2002
9.333333333,9,8,1,0,0.36,2002
9.375,9,9,1,0,0.36,2002
9.416666667,9,10,1,0,0.359,2002
9.458333333,9,11,1,0,0.354,2002
9.5,9,12,1,0,0.348,2002
9.541666667,9,13,1,0,0.341,2002
