Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,FC01,-98.6064,35.4551,4,1,"Fort Cobb, OK (ARS)",0.71,3.496,2.5,26,0.561234043,0.024,0.018,252.87,19.35,2.36,0.206,300,IAQ,14S,535716,3923584
ARS,FC02,-98.5443,35.4504,3,1,"Fort Cobb, OK (ARS)",0.843,4.036,7,39,0.716875,0.021,0.017,247.6,31.76,10.86,0.34,300,IAQ,14S,541354,3923087
ARS,FC03,-98.7087,35.4237,6,1,"Fort Cobb, OK (ARS)",0.851,4.31,2.5,37,0.726072464,0.021,0.02,251.98,33.5,11.29,0.148,300,IAQ,14S,526443,3920070
ARS,FC04,-98.6233,35.3923,3,1,"Fort Cobb, OK (ARS)",0.863,2.173,2.5,18,0.722806452,0.035,0.024,261.13,13.7,1.55,0.42,300,IAQ,14S,534209,3916614
ARS,FC05,-98.571,35.4072,6,1,"Fort Cobb, OK (ARS)",0.71,5.31,3,37,0.553823529,0.028,0.028,261.66,26.94,6.58,0.416,300,IAQ,14S,538952,3918286
ARS,FC06,-98.5138,35.3915,3,1,"Fort Cobb, OK (ARS)",0.857,4.637,2.5,31,0.694298246,0.02,0.02,259.19,24.45,6.89,0.259,300,IAQ,14S,544154,3916568
ARS,FC07,-98.465,35.3764,3,1,"Fort Cobb, OK (ARS)",0.65,3.446,2.5,24,0.48972093,0.023,0.022,261.61,18.1,3.67,0.253,300,IAQ,14S,548595,3914917
ARS,FC08,-98.5712,35.3611,6,1,"Fort Cobb, OK (ARS)",0.859,3.042,3,29,0.742,0.016,0.027,254.9,25.43,5.38,0.241,300,IAQ,14S,538956,3913173
ARS,FC09,-98.5675,35.3123,6,1,"Fort Cobb, OK (ARS)",0.824,4.845,4,32,0.650964286,0.02,0.02,252.83,24.69,7.47,0.287,300,IAQ,14S,539315,3907762
ARS,FC10,-98.5202,35.3303,3,1,"Fort Cobb, OK (ARS)",0.857,1.543,2.5,15,0.73356,0.052,0.013,306.23,9.5,4.38,0.438,300,IAQ,14S,543606,3909778
ARS,FC11,-98.4383,35.3343,3,1,"Fort Cobb, OK (ARS)",0.651,3.631,2.5,22,0.464794872,0.015,0.015,295.21,17.98,6.5,0.113,300,IAQ,14S,551046,3910261
ARS,FC12,-98.4914,35.3051,3,1,"Fort Cobb, OK (ARS)",0.838,8.222,2.5,39,0.612739726,0.018,0.018,257.7,31.6,10.38,0.252,300,IAQ,14S,546237,3906996
ARS,FC13,-98.6357,35.291,4,1,"Fort Cobb, OK (ARS)",0.861,5.539,8,41,0.693151515,0.02,0.02,257.21,35.98,16.79,0.345,300,IAQ,14S,533124,3905375
ARS,FC14,-98.4371,35.283,3,1,"Fort Cobb, OK (ARS)",0.702,5.363,4,39,0.548771429,0.015,0.015,266.67,24.4,7.59,0.424,300,IAQ,14S,551188,3904572
ARS,FC15,-98.6063,35.2294,-1,-1,"Fort Cobb, OK (ARS)",0.711,6.057,2.5,32,0.505677966,0.026,0.026,267.38,24.63,3.11,0.224,300,IAQ,14S,535825,3898554
ARS,LR01,-83.5736813,31.48662093,2,1,"Little River, GA (ARS)",0.382,7.491,2.2,36.2,0.161676471,0.008,0.006,263.7,29.8,7.29,0.071,450,LWC,17R,255519,3486402
ARS,LR02,-83.6389455,31.52343749,2,1,"Little River, GA (ARS)",0.594,3.924,0,21.7,0.413170507,0.048,0.006,114.28,12.57,1.02,0.365,450,LWC,17R,249416,3490632
ARS,LR03,-83.56732932,31.55747289,2,1,"Little River, GA (ARS)",0.476,4.725,1.3,29.3,0.30725,0.031,0.006,304.97,18.22,7.12,0.226,450,LWC,17R,256307,3494245
ARS,LR04,-83.65478649,31.59111475,2,1,"Little River, GA (ARS)",0.509,3.779,0,21.3,0.33158216,0.04,0.011,248.7,13.62,1.78,0.214,450,LWC,17R,248093,3498173
ARS,LR05,-83.61191908,31.62712039,2,1,"Little River, GA (ARS)",-1,-1,-1,42.9,-0.977220957,0.023,0.006,84.69,38.87,12.98,0.087,450,LWC,17R,252258,3502068
ARS,LR06,-83.66595549,31.63423986,2,1,"Little River, GA (ARS)",0.367,4.616,0.1,22.8,0.163651982,0.012,0.031,248.01,13.26,0,0.145,450,LWC,17R,247150,3502981
ARS,LR07,-83.71932486,31.67563457,2,3,"Little River, GA (ARS)",0.488,4.094,0,21.1,0.293971564,0.034,0.01,35.74,14.34,1.19,0.178,450,LWC,17R,242201,3507697
ARS,LR08,-83.69822766,31.67098414,2,1,"Little River, GA (ARS)",0.666,4.358,0.3,25,0.489562753,0.033,0.018,271.49,16.15,1.89,0.319,450,LWC,17R,244189,3507131
ARS,LR09,-83.64213328,31.67271641,2,1,"Little River, GA (ARS)",0.676,3.015,0.1,24.5,0.552434426,0.018,0.022,256.46,18.13,1.21,0.135,450,LWC,17R,249513,3507193
ARS,LR10,-83.69268689,31.69170844,2,2,"Little River, GA (ARS)",0.345,5.136,0,30.1,0.174368771,0.049,0.007,116.66,18.9,0.76,0.181,450,LWC,17R,244771,3509416
ARS,LR11,-83.75400675,31.70928978,2,2,"Little River, GA (ARS)",0.648,2.847,0,18.7,0.495754011,0.025,0.009,288.37,13.45,2.73,0.212,450,LWC,17R,239006,3511511
ARS,LR12,-83.70537646,31.70491502,2,1,"Little River, GA (ARS)",0.566,3.21,0,26.4,0.444409091,0.036,0.005,214.47,18.23,2.23,0.11,450,LWC,17R,243604,3510911
ARS,LR13,-83.67383869,31.71093096,2,3,"Little River, GA (ARS)",0.545,2.648,0.2,24.2,0.434666667,0.044,0.014,66.77,20.06,2.73,0.087,450,LWC,17R,246611,3511504
ARS,LR14,-83.71639916,31.72595446,2,2,"Little River, GA (ARS)",0.739,1.459,0,15.5,0.644870968,0.04,0.032,245.53,11.52,0.6,0.127,450,LWC,17R,242617,3513270
ARS,LR15,-83.7601,31.73286,2,2,"Little River, GA (ARS)",0.676,3.626,0.1,23.9,0.523647059,0.045,0.02,269.37,21.02,5.06,0.175,450,LWC,17R,238495,3514140
ARS,LR16,-83.69294364,31.75196518,2,1,"Little River, GA (ARS)",0.663,4.054,0.2,26.8,0.510593985,0.024,0.002,209.86,27.43,5.61,0.062,450,LWC,17R,244912,3516099
ARS,LR17,-83.72148801,31.76101578,2,1,"Little River, GA (ARS)",0.731,3.331,0.1,25.3,0.59881746,0.037,0.014,274.43,18.69,2.83,0.189,450,LWC,17R,242232,3517170
ARS,LR18,-83.75166241,31.75625554,2,1,"Little River, GA (ARS)",0.531,3.341,0,17.2,0.336755814,0.059,0.007,93.38,11.17,1.91,0.317,450,LWC,17R,239360,3516714
ARS,LR19,-83.55747307,31.50634582,2,1,"Little River, GA (ARS)",0.356,5.399,1.7,26,0.13381893,0.049,0.044,217.96,15.15,5.87,0.549,450,LWC,17R,257110,3488554
ARS,LR20,-83.54756642,31.52132516,2,1,"Little River, GA (ARS)",0.608,5.444,1.7,33.4,0.436264984,0.02,0.007,298.04,22.7,1.71,0.198,450,LWC,17R,258090,3490193
ARS,LR21,-83.41133341,31.64322715,2,1,"Little River, GA (ARS)",0.737,1.813,0,14,0.6075,0.049,0.006,278.27,9.78,0.92,0.257,450,LWC,17R,271328,3503416
ARS,LR22,-83.60210875,31.6717288,2,1,"Little River, GA (ARS)",0.109,8.905,1.9,30.5,-0.202363636,0.065,0.022,14.16,19.59,5.81,0.402,450,LWC,17R,253306,3506992
ARS,LR23,-83.70342882,31.56662593,2,1,"Little River, GA (ARS)",0.651,4.373,0.3,29.9,0.503263514,0.06,0.012,261.71,20.2,3.9,0.316,450,LWC,17R,243409,3495571
ARS,LR24,-83.36479821,31.41237743,2,1,"Little River, GA (ARS)",0.553,3.61,2.3,23.5,0.382716981,0.049,0.008,176.25,20.2,5,0.209,450,LWC,17R,275190,3477724
ARS,LR25,-83.48149341,31.72437267,2,1,"Little River, GA (ARS)",0.719,2.502,0,17.5,0.576028571,0.033,0.003,257.77,12.24,0,0.302,450,LWC,17R,264878,3512563
ARS,LR26,-83.42585134,31.48515345,2,1,"Little River, GA (ARS)",0.431,4.107,2.1,28.3,0.274244275,0.017,0.009,258.02,19.14,1.65,0.121,450,LWC,17R,269562,3485919
ARS,LR27,-83.68964529,31.38392562,2,2,"Little River, GA (ARS)",0.746,3.238,0.6,25.8,0.617507937,0.025,0.015,269.16,16.57,1.14,0.198,450,LWC,17R,244221,3475279
ARS,LR28,-83.5698369,31.29076805,2,1,"Little River, GA (ARS)",0.797,2.55,2.6,25.5,0.685646288,0.041,0.016,257.57,17.69,5.85,0.383,450,LWC,17R,255377,3464677
ARS,LR29,-83.78459223,31.41220486,2,1,"Little River, GA (ARS)",0.59,3.242,0,19.9,0.427085427,0.034,0.013,237.1,14.12,1.19,0.136,450,LWC,17R,235268,3478640
ARS,LR30,-83.3383612,31.28552247,2,1,"Little River, GA (ARS)",0.775,3.774,2,31.7,0.647929293,0.024,0.007,0,24.95,5.32,0.102,450,LWC,17R,277405,3463605
ARS,LR31,-83.7447426,31.50591659,2,1,"Little River, GA (ARS)",0.645,8.565,0,30.4,0.363256579,0.013,0.012,295.63,15.19,0.53,0.162,450,LWC,17R,239318,3488936
ARS,LR32,-83.66992926,31.04546574,2,1,"Little River, GA (ARS)",0.769,4.325,0.4,35.8,0.646824859,0.018,0.012,264.37,28.8,5.13,0.091,450,LWC,17R,245189,3437703
ARS,LR33,-83.34885663,31.47159317,2,1,"Little River, GA (ARS)",0.517,5.97,0.2,33.9,0.339848665,0.021,0.018,251.31,31.87,0,0.064,450,LWC,17R,276846,3484257
